

**Model Results**
Average election-level absolute bias [percentage-points]:
   election_type mu_b mu_b_sd
1:    Senatorial  2.1   0.095
2: Gubernatorial  2.3   0.100
3:  Presidential  1.2   0.070
Average election-level absolute bias [percentage-points] on election day:
   election_type mu_b_0 mu_b_0_sd
1:    Senatorial    1.9     0.128
2: Gubernatorial    2.2     0.124
3:  Presidential    1.2     0.076
Average election-level standard deviation:
   election_type mu_sigma mu_sigma_sd
1:    Senatorial      2.8       0.067
2: Gubernatorial      2.7       0.070
3:  Presidential      2.2       0.041
Average election-level absolute bias [percentage-points] for SRS:
   avg_abs_election_level_bias avg_abs_elecion_level_elecitonday_bias avg_election_level_sd
1:                        0.19                              0.1633333                   2.1
